Firmware_Version=1.8;Sensor_Type=TYPE_SEABIRD_SBE37;Slot=9;SensorId=2;
DATE;TIME;TEMPERATURE;CONDUCTIVITY;PRESSION;SALINITY;SOUND SPEED;
 ; ;°C;S/m;dbars;PSU;m/sec;
12/07/2017;16:45:00;29.2853;0.01731;-0.346;0.0792;1507.558;
12/07/2017;17:00:00;29.2997;0.01723;-0.584;0.0789;1507.588;
12/07/2017;17:15:00;29.0609;0.01709;-0.562;0.0786;1507.023;
12/07/2017;17:30:00;29.1935;0.01715;-0.699;0.0787;1507.335;
12/07/2017;17:45:00;29.0288;0.01711;-0.678;0.0787;1506.945;
12/07/2017;18:00:00;29.0410;0.01714;-0.647;0.0788;1506.974;
12/07/2017;18:15:00;29.5811;0.01719;-0.709;0.0784;1508.245;
12/07/2017;18:30:00;27.8944;0.01685;-0.438;0.0790;1504.208;
12/07/2017;18:45:00;27.5925;0.01678;-0.474;0.0791;1503.462;
12/07/2017;19:00:00;27.3820;0.01672;-0.530;0.0791;1502.938;
12/07/2017;19:15:00;26.9186;0.01662;-0.483;0.0792;1501.775;
12/07/2017;19:30:00;26.7007;0.01656;-0.530;0.0793;1501.221;
12/07/2017;19:45:00;26.3795;0.01647;-0.569;0.0793;1500.399;
12/07/2017;20:00:00;26.4187;0.01648;-0.573;0.0792;1500.500;
12/07/2017;20:15:00;26.1502;0.01640;-0.513;0.0793;1499.809;
12/07/2017;20:30:00;25.9386;0.01635;-0.559;0.0793;1499.260;
12/07/2017;20:45:00;25.7354;0.01629;-0.544;0.0793;1498.729;
12/07/2017;21:00:00;25.6566;0.01625;-0.559;0.0792;1498.523;
12/07/2017;21:15:00;25.6058;0.01623;-0.603;0.0792;1498.388;
12/07/2017;21:30:00;25.6050;0.01622;-0.615;0.0791;1498.386;
12/07/2017;21:45:00;25.3812;0.01614;-0.577;0.0791;1497.797;
12/07/2017;22:00:00;25.2421;0.01608;-0.538;0.0790;1497.429;
12/07/2017;22:15:00;25.0737;0.01601;-0.532;0.0789;1496.981;
12/07/2017;22:30:00;24.8854;0.01594;-0.518;0.0788;1496.478;
12/07/2017;22:45:00;24.8386;0.01589;-0.513;0.0786;1496.352;
12/07/2017;23:00:00;24.7128;0.01582;-0.487;0.0785;1496.014;
12/07/2017;23:15:00;24.5477;0.01575;-0.533;0.0784;1495.567;
12/07/2017;23:30:00;24.4960;0.01571;-0.578;0.0783;1495.426;
12/07/2017;23:45:00;24.4416;0.01566;-0.541;0.0781;1495.279;
13/07/2017;00:00:00;24.3411;0.01560;-0.545;0.0780;1495.005;
13/07/2017;00:15:00;24.3704;0.01557;-0.620;0.0778;1495.083;
13/07/2017;00:29:59;24.3532;0.01553;-0.557;0.0776;1495.038;
13/07/2017;00:45:00;24.3832;0.01551;-0.612;0.0775;1495.118;
13/07/2017;01:00:00;24.3930;0.01547;-0.641;0.0773;1495.144;
13/07/2017;01:15:00;24.3465;0.01544;-0.578;0.0772;1495.018;
13/07/2017;01:30:00;24.3348;0.01541;-0.620;0.0771;1494.986;
13/07/2017;01:45:00;24.3244;0.01537;-0.607;0.0769;1494.957;
13/07/2017;02:00:00;24.3326;0.01535;-0.612;0.0768;1494.980;
13/07/2017;02:15:00;24.3244;0.01532;-0.570;0.0767;1494.958;
13/07/2017;02:30:00;24.1561;0.01525;-0.561;0.0766;1494.498;
13/07/2017;02:44:59;24.0795;0.01521;-0.586;0.0765;1494.288;
13/07/2017;03:00:00;24.0352;0.01517;-0.578;0.0764;1494.166;
